word	part_of_speech	category
xcvi	a	Numerals and Mathematical Terms
gum	n,v	Food, Cooking, and Ingredients
gator	n	"Words starting with ""G"""
mate	n,v	Gender, Family and Greetings
downy	a	Negative and Disturbing Adjectives
season	n,v	Actions and Roles
kitul	n	"""C-"" Words and Items"
cred	n	Actions and Roles
wonted	a	Actions and Descriptions
meme	n	"""M-"" Words"
ribbon	n	Clothing, Materials and Dressing Actions
lee	a,n	"""L-"" Words"
ridley	n	"""R-"" Words and Rotational Movements"
hexane	n	Chemical Compounds and Reactions
ala	n	"Starting with ""A"" or ""E"""
putter	n,v	"""P-"" Words"
rhinal	a	Anatomical and Biological Terms
rafts	n	"""R-"" Words and Rotational Movements"
kentan	n	Alphabets, Animals, and Games
brooch	n,v	Weapons and Cutting Tools
ciao	n	Gender, Family and Greetings
edda	n	"Starting with ""A"" or ""E"""
honest	a	Gossip, Deception, and Games
potpie	n	"""P-"" Words"
sieve	n,v	Words Related to Shapes and Textures
nigger	n	Lights, Colors, and Visibility
queer	a,n,v	Gender, Family and Greetings
manga	n	Communication and Media
schlep	n,v	Words Related to Shapes and Textures
fuckup	n	Negative and Disturbing Adjectives
sought	a	Actions and Roles
careen	n,v	Modes of Transportation and Travel
haunt	n,v	Modes of Transportation and Travel
muser	n	"""M-"" Words"
stony	a	Words Related to Shapes and Textures
incus	n	Weapons and Cutting Tools
smelly	a	Negative and Disturbing Adjectives
opened	a	Actions and Roles
weeb	n	Occupations and Personal Descriptors
double	a,n,v	"""T-"" Words and Pairs"
chouse	v	"""B-"" Words and Objects"
uterus	n	Anatomical and Biological Terms
pastel	a,n	Food, Cooking, and Ingredients
outfox	v	Negative and Disturbing Adjectives
wop	n	Actions and Descriptions
loser	n	Actions and Roles
quartz	n	Minerals and Geology
await	v	Actions and Roles
git	n	Actions and Roles
stein	n	Words Related to Shapes and Textures
porta	n	Places and Spaces
eider	n	Animals and Animal-Related Terms
barky	a	"""B-"" Words and Objects"
rhymed	a	"""R-"" Words and Rotational Movements"
milky	a	"""M-"" Words"
debtor	n	Economic and Trade Terms
racial	a	"""R-"" Words and Rotational Movements"
molal	a	"""M-"" Words"
sudsy	a	Negative and Disturbing Adjectives
wield	v	Weapons and Cutting Tools
kiang	n	Alphabets, Animals, and Games
burr	n,v	"""B-"" Words and Objects"
jehad	n	Islamic and Middle Eastern Terms
titre	n	"""T-"" Words and Pairs"
tubful	n	"""T-"" Words and Pairs"
roofy	n	Places and Spaces
toga	n	Clothing, Materials and Dressing Actions
vase	n	Food, Cooking, and Ingredients
blamed	a	Verbs and Actions
shiner	n	Actions and Descriptions
frost	n,v	Temperature and Heat-Related Terms
vamper	n	Alphabets, Animals, and Games
kittul	n	"""C-"" Words and Items"
clayey	a	Minerals and Geology
oozing	a,n	Hygiene, Health, and Bodily Functions
flower	n,v	Plant and Tree Species
sown	a	Plant and Tree Species
loll	v	"""L-"" Words"
lam	n,v	"""L-"" Words"
tick	n,v	Actions and Roles
fascia	n	Anatomical and Biological Terms
repine	v	"""P-"" Words"
vent	n,v	Actions and Roles
guib	n	"Words starting with ""G"""
serf	n	Occupations and Personal Descriptors
pinky	n	"""P-"" Words"
mucose	a	Anatomical and Biological Terms
s	n	Numerals and Mathematical Terms
charr	n	Actions and Descriptions
ad	n	"Starting with ""A"" or ""E"""
dreamy	a	Negative and Disturbing Adjectives
bore	n,v	"""B-"" Words and Objects"
blini	n	Food, Cooking, and Ingredients
solder	n,v	Temperature and Heat-Related Terms
return	n,v	Actions and Roles
strung	a	Binding, Restraining and Undoing
stupid	a,n	Occupations and Personal Descriptors
ileum	n	Anatomical and Biological Terms
nauch	n	Nouns and Actions
flunky	n	Occupations and Personal Descriptors
pick	n,v	"""P-"" Words"
paltry	a	Personal Characteristics and Behaviors
cubist	a,n	"""C-"" Words and Items"
rouge	n,v	Lights, Colors, and Visibility
barbet	n	Animals and Animal-Related Terms
speed	n,v	Fast-Paced and Intense Activities and States
billed	a	"""B-"" Words and Objects"
meet	a,n,v	"""M-"" Words"
halite	n	Chemical Compounds and Reactions
brio	n	Fast-Paced and Intense Activities and States
tamed	a	Personal Characteristics and Behaviors
candid	a	Gossip, Deception, and Games
jambon	n	Alphabets, Animals, and Games
pique	n,v	"""P-"" Words"
every	a	Actions and Roles
hombre	n	Gender, Family and Greetings
pose	n,v	Actions and Roles
caddy	n,v	Actions and Roles
depose	v	"Items, Actions and Concepts Starting with ""D"""
unpack	v	Binding, Restraining and Undoing
sluice	n,v	Words Related to Shapes and Textures
pastry	n	Food, Cooking, and Ingredients
sock	n,v	"""S-"" Words"
result	n,v	Actions and Roles
bladed	a	Weapons and Cutting Tools
tusser	n	"""T-"" Words and Pairs"
bubbly	a,n	Lights, Colors, and Visibility
windup	a,n	Binding, Restraining and Undoing
oppose	v	Verbs and Actions
indium	n	Minerals and Geology
repair	n,v	Actions and Roles
quack	a,n,v	Animals and Animal-Related Terms
appall	v	"Starting with ""A"" or ""E"""
heaver	n	Weight, Strength, and Body Descriptors
acre	n	Plant and Tree Species
liken	v	Praise and Positivity
buoy	n,v	Lights, Colors, and Visibility
jovial	a	Praise and Positivity
succus	n	Food, Cooking, and Ingredients
ray	n,v	"""R-"" Words and Rotational Movements"
wheeze	n,v	Hygiene, Health, and Bodily Functions
umber	a,n	"Starting with ""A"" or ""E"""
spaced	a	Words Related to Shapes and Textures
full	a,n,v	Negative and Disturbing Adjectives
gaiter	n	"Words starting with ""G"""
point	n,v	Actions and Roles
hire	n,v	Actions and Roles
pelter	n	"""P-"" Words"
bingo	n	Gossip, Deception, and Games
green	a,n,v	Lights, Colors, and Visibility
file	n,v	Actions and Roles
twang	n,v	"""T-"" Words and Pairs"
lore	n	"""L-"" Words"
strap	n,v	Words Related to Shapes and Textures
knife	n,v	Weapons and Cutting Tools
psylla	n	Medical, Insects, and Skin Conditions
dalo	n	"Items, Actions and Concepts Starting with ""D"""
flexor	n	Body Parts and Related Terms
azide	n	Nouns and Actions
plaid	n	"""T-"" Words and Pairs"
boccie	n	"""B-"" Words and Objects"
canned	a	Food, Cooking, and Ingredients
sprig	n	Words Related to Shapes and Textures
pen	n,v	"""P-"" Words"
fuller	n	Negative and Disturbing Adjectives
aa	n	Gender, Family and Greetings
brewer	n	Food, Cooking, and Ingredients
setoff	n	"""B-"" Words and Objects"
crimp	n,v	"""C-"" Words and Items"
cuppa	n	Food, Cooking, and Ingredients
mobcap	n	"""C-"" Words and Items"
gage	n,v	Actions and Roles
veldt	n	Plant and Tree Species
apish	a	Personal Characteristics and Behaviors
lede	n	"""L-"" Words"
tabes	n	"""T-"" Words and Pairs"
pole	n,v	"""P-"" Words"
decade	n	Numerals and Mathematical Terms
advise	v	Personal Characteristics and Behaviors
picot	n	"""P-"" Words"
laelia	n	Plant and Tree Species
shamus	n	Actions and Descriptions
prime	a,n,v	"""P-"" Words"
capon	n	"""C-"" Words and Items"
penne	n	Food, Cooking, and Ingredients
spill	n,v	Words Related to Shapes and Textures
cackly	a	"""C-"" Words and Items"
trig	a,n	"""T-"" Words and Pairs"
second	a,n,v,v	Numerals and Mathematical Terms
gloam	n	Emotional and Physical States
gyre	n	"""R-"" Words and Rotational Movements"
woolen	a,n	Clothing, Materials and Dressing Actions
dickey	a,n	"Items, Actions and Concepts Starting with ""D"""
rase	v	"""R-"" Words and Rotational Movements"
role	n	"""R-"" Words and Rotational Movements"
numbat	n	Nouns and Actions
pita	n	"""P-"" Words"
flame	n,v	Temperature and Heat-Related Terms
ways	n	Modes of Transportation and Travel
sconce	n	Words Related to Shapes and Textures
income	n	Economic and Trade Terms
colon	n	"""C-"" Words and Items"
libido	n	Fast-Paced and Intense Activities and States
look	n,v	Actions and Roles
tzar	n	Occupations and Personal Descriptors
burly	a	Weight, Strength, and Body Descriptors
earn	v	Actions and Roles
den	n	Alphabets, Animals, and Games
valour	n	Fast-Paced and Intense Activities and States
trendy	a	Praise and Positivity
under	a	Actions and Roles
chasse	n,v	Modes of Transportation and Travel
aspect	n	Actions and Roles
sewn	a	Clothing, Materials and Dressing Actions
birdie	n,v	Animals and Animal-Related Terms
allis	n	"Starting with ""A"" or ""E"""
derris	n	"Items, Actions and Concepts Starting with ""D"""
ratio	n	"""R-"" Words and Rotational Movements"
wren	n	Animals and Animal-Related Terms
numb	a,v	Emotional and Physical States
zesty	a	Alphabets, Animals, and Games
swipe	n,v	Actions and Descriptions
pastis	n	Food, Cooking, and Ingredients
pinto	n	"""P-"" Words"
fellow	n	Gender, Family and Greetings
cradle	n,v	Places and Spaces
unhurt	a	Crimes, Violence and Misdeeds
losses	n	Actions and Roles
scute	n	Words Related to Shapes and Textures
achene	n	Plant and Tree Species
stone	a,n,v	Words Related to Shapes and Textures
plumed	a	Words Related to Shapes and Textures
kapok	n	"""C-"" Words and Items"
bogy	n	"""B-"" Words and Objects"
linin	n	Actions and Roles
wake	n,v	Emotional and Physical States
disbud	v	Islamic and Middle Eastern Terms
ravine	n	Places and Spaces
five	a,n	Numerals and Mathematical Terms
bounty	n	"""B-"" Words and Objects"
patchy	a	Words Related to Shapes and Textures
watery	a	Negative and Disturbing Adjectives
roster	n	Actions and Roles
hominy	n	Food, Cooking, and Ingredients
vizsla	n	Animals and Animal-Related Terms
dumdum	n	"Items, Actions and Concepts Starting with ""D"""
seated	a	Places and Spaces
scaup	n	Animals and Animal-Related Terms
atone	v	Verbs of Action and Change
camlet	n	"""C-"" Words and Items"
haft	n	Weapons and Cutting Tools
genie	n	Alphabets, Animals, and Games
tango	n,v	"""T-"" Words and Pairs"
horn	n,v	Animals and Animal-Related Terms
poker	n	Gossip, Deception, and Games
ferine	a	Negative and Disturbing Adjectives
fluent	a	Negative and Disturbing Adjectives
chased	n	Modes of Transportation and Travel
kiaat	n	Plant and Tree Species
fiat	n	Negative and Disturbing Adjectives
hatted	a	"""C-"" Words and Items"
ornate	a	Praise and Positivity
smithy	n	Actions and Roles
brony	n	Animals and Animal-Related Terms
symbol	n	Actions and Roles
visage	n	Actions and Roles
botfly	n	Medical, Insects, and Skin Conditions
scorer	n	Words Related to Shapes and Textures
clef	n	"""C-"" Words and Items"
feed	n,v	Food, Cooking, and Ingredients
hunch	n,v	"""H-"" Words"
blip	n	Lights, Colors, and Visibility
merger	n	Actions and Roles
choked	a	Actions and Descriptions
ode	n	"""O-"" Words"
untidy	a	Negative and Disturbing Adjectives
plummy	a	Words Related to Shapes and Textures
rodent	n	Animals and Animal-Related Terms
cicero	n	"""C-"" Words and Items"
uvula	n	Anatomical and Biological Terms
teacup	n	Food, Cooking, and Ingredients
hoe	n,v	"""H-"" Words"
lathe	n	"""L-"" Words"
shote	n	Weapons and Cutting Tools
busted	a	"""B-"" Words and Objects"
nobble	v	Praise and Positivity
aghast	a	Fast-Paced and Intense Activities and States
narial	a	Anatomical and Biological Terms
baldy	n	Clothing, Materials and Dressing Actions
rigger	n	Actions and Roles
peep	n,v	"""P-"" Words"
simper	n,v	Actions and Descriptions
knower	n	Actions and Roles
payee	n	Economic and Trade Terms
acute	a,n	Fast-Paced and Intense Activities and States
boy	n	Gender, Family and Greetings
posit	n,v	Actions and Roles
etui	n	"Starting with ""A"" or ""E"""
unsay	v	Binding, Restraining and Undoing
rive	v	Modes of Transportation and Travel
ratch	n	"""R-"" Words and Rotational Movements"
abduct	v	Crimes, Violence and Misdeeds
ramous	a	Plant and Tree Species
arm	n,v	Weapons and Cutting Tools
welter	n,v	Actions and Descriptions
plash	n,v	Words Related to Shapes and Textures
wilful	a	Actions and Descriptions
fasten	v	"Starting with ""A"" or ""E"""
dumper	n	"Items, Actions and Concepts Starting with ""D"""
posset	n	Hygiene, Health, and Bodily Functions
welder	n	Temperature and Heat-Related Terms
rustle	n,v	Fast-Paced and Intense Activities and States
truant	a,n	Modes of Transportation and Travel
cinder	n	Temperature and Heat-Related Terms
zilch	n	Nouns and Actions
siss	v	"""S-"" Words"
catchy	a	Praise and Positivity
secede	v	Verbs of Action and Change
kraal	n	Plant and Tree Species
info	n	Actions and Roles
zippy	a	Alphabets, Animals, and Games
winey	a	Actions and Descriptions
shmuck	n	Actions and Descriptions
whit	n	Lights, Colors, and Visibility
chaeta	n	Medical, Insects, and Skin Conditions
reap	v	Verbs of Action and Change
cartel	n	"""C-"" Words and Items"
tepid	a	"""T-"" Words and Pairs"
braced	a	"""B-"" Words and Objects"
lyssa	n	"""L-"" Words"
toter	n	"""T-"" Words and Pairs"
sleuth	n,v	Gossip, Deception, and Games
ackee	n	Plant and Tree Species
little	a,n	Personal Characteristics and Behaviors
avowed	a	Verbs and Actions
akimbo	a	Weapons and Cutting Tools
anoa	n	"Starting with ""A"" or ""E"""
cost	n,v	Economic and Trade Terms
balas	n	Food, Cooking, and Ingredients
hogget	n	Animals and Animal-Related Terms
citole	n	"""C-"" Words and Items"
wicked	a	Negative and Disturbing Adjectives
pia	n	"""P-"" Words"
kiddy	n	Animals and Animal-Related Terms
admass	n	"Starting with ""A"" or ""E"""
mi	n	Numerals and Mathematical Terms
tinder	n	Temperature and Heat-Related Terms
tweeze	v	Actions and Descriptions
bitter	a,n,v	Food, Cooking, and Ingredients
relax	v	Personal Characteristics and Behaviors
messy	a	Negative and Disturbing Adjectives
dongle	n	Communication and Media
bonxie	n	Animals and Animal-Related Terms
recur	v	Actions and Roles
zany	a,n	Negative and Disturbing Adjectives
nabob	n	Nouns and Actions
thunk	n	Actions and Descriptions
pocked	a	"""P-"" Words"
jungle	n	"""S-"" Words"
avocet	n	Animals and Animal-Related Terms
humans	n	Gender, Family and Greetings
marsh	n	"""M-"" Words"
parlor	n	Places and Spaces
rave	n,v	"""R-"" Words and Rotational Movements"
biter	n	Nouns and Actions
humid	a	Negative and Disturbing Adjectives
googly	n	Actions and Roles
debt	n	Economic and Trade Terms
florid	a	Praise and Positivity
ibis	n	Animals and Animal-Related Terms
coiner	n	"""C-"" Words and Items"
orpin	n	"""O-"" Words"
rework	v	Verbs of Action and Change
host	n,v	Actions and Roles
fraise	n	Negative and Disturbing Adjectives
hurdle	n,v	Actions and Descriptions
angina	n	Medical, Insects, and Skin Conditions
saree	n	Clothing, Materials and Dressing Actions
blitz	n,v	"""B-"" Words and Objects"
coma	n	"""C-"" Words and Items"
pood	n	"""P-"" Words"
cadent	a	Actions and Roles
wasp	n	Medical, Insects, and Skin Conditions
salute	n,v	"""S-"" Words"
credit	n,v	Economic and Trade Terms
tussle	n,v	Negative and Disturbing Adjectives
coydog	n	"""C-"" Words and Items"
carved	a	Weapons and Cutting Tools
mackle	n	"""M-"" Words"
jeans	n	Clothing, Materials and Dressing Actions
cyan	a,n	"""T-"" Words and Pairs"
adieu	n	Gender, Family and Greetings
clover	n	"""C-"" Words and Items"
stomp	n,v	Actions and Descriptions
client	n	Occupations and Personal Descriptors
tor	n	"""T-"" Words and Pairs"
omit	v	Actions and Roles
beth	n	"""B-"" Words and Objects"
lunger	n,n	"""L-"" Words"
rushy	a	Fast-Paced and Intense Activities and States
kelpie	n	Animals and Animal-Related Terms
ola	n	"""O-"" Words"
jihad	n	Islamic and Middle Eastern Terms
chafed	a	Actions and Descriptions
squeal	n,v	Actions and Descriptions
bursar	n	"""B-"" Words and Objects"
civet	n	"""C-"" Words and Items"
scamp	n,v	Words Related to Shapes and Textures
tier	n,n	Actions and Roles
codify	v	Verbs and Actions
coho	n	"""C-"" Words and Items"
prox	a	Actions and Roles
signed	a	Actions and Roles
effete	a	Personal Characteristics and Behaviors
witty	a	Personal Characteristics and Behaviors
custom	a,n	Actions and Roles
nitwit	n	Occupations and Personal Descriptors
thrive	v	Verbs and Actions
azote	n	Nouns and Actions
wrist	n	Body Parts and Related Terms
argyle	n	"Starting with ""A"" or ""E"""
samba	n,v	"""S-"" Words"
spend	v	Economic and Trade Terms
splosh	v	Words Related to Shapes and Textures
wedgie	n	"""B-"" Words and Objects"
row	n,n,v	"""R-"" Words and Rotational Movements"
pewee	n	Actions and Descriptions
tragus	n	"Starting with ""A"" or ""E"""
furrow	n,v	Places and Spaces
dweeb	n	Occupations and Personal Descriptors
hao	n	"""H-"" Words"
irate	a	Fast-Paced and Intense Activities and States
titfer	n	"""C-"" Words and Items"
hussy	n	Occupations and Personal Descriptors
lvi	a	Numerals and Mathematical Terms
ic	a	Temperature and Heat-Related Terms
online	a	Actions and Roles
sett	n	Actions and Roles
gluey	a	Binding, Restraining and Undoing
exceed	v	Verbs and Actions
keyed	a	Actions and Roles
enmesh	v	Binding, Restraining and Undoing
peso	n	Weight, Strength, and Body Descriptors
jape	n	Gossip, Deception, and Games
linear	a	Actions and Roles
raffle	n,v	"""R-"" Words and Rotational Movements"
donjon	n	Alphabets, Animals, and Games
simian	a,n	Animals and Animal-Related Terms
digs	n	"Items, Actions and Concepts Starting with ""D"""
yes	n	Gender, Family and Greetings
orlop	n	Places and Spaces
catena	n	Binding, Restraining and Undoing
gula	n	Food, Cooking, and Ingredients
hunker	v	Actions and Descriptions
nugget	n	Nouns and Actions
ferial	a	Negative and Disturbing Adjectives
revoke	n,v	Verbs of Action and Change
aft	a	Actions and Roles
short	a,n,v	"""B-"" Words and Objects"
cogent	a	"""C-"" Words and Items"
rasher	n	"""R-"" Words and Rotational Movements"
louvar	n	Praise and Positivity
ipecac	n	Hygiene, Health, and Bodily Functions
orb	n,v	"""O-"" Words"
apodal	a	Body Parts and Related Terms
remuda	n	Clothing, Materials and Dressing Actions
asset	n	Actions and Roles
tot	n,v	"""T-"" Words and Pairs"
dwarf	n,v	"""P-"" Words"
nasal	a,n	Anatomical and Biological Terms
limey	n	Occupations and Personal Descriptors
barker	n	"""B-"" Words and Objects"
anode	n	Chemical Compounds and Reactions
spue	v	Hygiene, Health, and Bodily Functions
hinny	n	"""H-"" Words"
flats	n	Actions and Roles
hail	n,v	"""H-"" Words"
jag	n,v	Animals and Animal-Related Terms
krubi	n	"Words starting with ""G"""
galena	n	Minerals and Geology
celom	n	Anatomical and Biological Terms
molt	n,v	"""M-"" Words"
renal	a	Anatomical and Biological Terms
value	n,v	Actions and Roles
claque	n	"""C-"" Words and Items"
lessor	n	Economic and Trade Terms
copier	n	Actions and Roles
cable	n,v	Binding, Restraining and Undoing
dial	n,v	Communication and Media
muumuu	n	Clothing, Materials and Dressing Actions
